Timestamp;Cam0_Temp;Cam1_Temp;Cam2_Temp;PMU_Temp1;PMU_Temp2;PMU_Voltage;PMU_Current;PMU_Power;CPU_Temp;CPU_MHz;CPU_Load;CPU_Chipset_Temp;Scanner_Top_bottom_circuit_rt1;Scanner_Top_bottom_circuit_rt2;Scanner_Top_laser_emitting_board_rt1;Scanner_Top_laser_emitting_board_rt2;Scanner_Top_receiving_board_rt1;Scanner_Top_top_circuit_rt1;Scanner_Bot_bottom_circuit_rt1;Scanner_Bot_bottom_circuit_rt2;Scanner_Bot_avg_tmp;Scanner_Bot_laser_emitting_board_rt1;Scanner_Bot_laser_emitting_board_rt2;Scanner_Bot_receiving_board_rt1;Scanner_Bot_top_circuit_rt1;Angle;Distance
2023-01-12T14:08:03.617452;54.25;56.25;54.25;41.7500;34.0000;19.7137;2.7173;54.0482;37.0;2488.77025;4.0;31.85;46.0;46.2;54.1;54.4;52.9;55.3;44.1;44.1;51.6;50.8;51.0;50.7;52.8;337;13
2023-01-12T14:08:04.935251;50.125;52.125;51.25;42.0000;34.0000;19.6774;3.2325;60.4724;40.0;2489.884125;10.2;31.85;46.0;46.2;54.1;54.4;52.9;55.3;44.1;44.1;51.6;50.8;51.0;50.7;52.8;323;36
2023-01-12T14:08:06.246795;50.25;52.125;50.25;42.0000;34.0000;19.6599;3.0774;61.0217;40.0;2313.977375;10.5;31.85;46.0;46.2;53.9;54.3;53.0;55.3;44.1;44.1;51.6;50.8;50.9;50.7;52.8;355;20
2023-01-12T14:08:07.545175;50.125;52.125;51.25;42.0000;34.0000;19.6137;3.3991;67.3085;40.0;2572.864625;10.5;31.85;45.9;46.2;54.1;54.6;53.0;55.4;44.1;44.1;51.7;50.7;50.9;50.7;52.9;48;42
2023-01-12T14:08:08.841901;50.125;52.25;51.25;42.0000;34.0000;19.6749;3.23;60.5792;39.0;2529.557625;11.3;31.85;45.9;46.2;54.1;54.6;53.0;55.4;44.1;44.1;51.7;50.7;50.9;50.7;52.9;85;31
2023-01-12T14:08:10.139611;50.125;51.125;51.25;42.0000;34.0000;19.5712;3.4681;65.0349;45.0;2536.049125;11.4;31.85;46.0;46.2;54.1;54.5;52.9;55.3;44.1;44.1;51.7;50.7;51.0;50.7;52.8;322;25
2023-01-12T14:08:11.440683;50.125;52.25;51.25;42.0000;34.0000;19.5762;3.5444;69.9484;43.0;2646.5056250000002;11.4;31.85;46.0;46.2;54.2;54.3;52.9;55.3;44.1;44.1;51.7;50.8;51.0;50.7;52.8;297;1
2023-01-12T14:08:12.742383;50.25;52.125;51.25;42.0000;34.0000;19.6312;3.1922;65.2485;54.0;2737.4411250000003;11.0;31.85;46.0;46.2;54.2;54.3;52.9;55.3;44.1;44.1;51.7;50.8;51.0;50.7;52.8;165;19
2023-01-12T14:08:14.055402;50.125;52.125;51.25;42.0000;34.0000;19.6474;3.1238;66.3472;40.0;2597.19175;11.5;31.85;46.0;46.2;54.2;54.4;52.9;55.3;44.1;44.1;51.7;50.8;50.8;50.8;52.9;180;46
2023-01-12T14:08:15.375224;50.25;52.125;51.25;42.0000;34.0000;19.6599;3.3881;70.4062;39.0;2497.6672500000004;11.9;31.85;46.0;46.2;54.1;54.4;53.0;55.3;44.1;44.1;51.7;50.8;51.0;50.8;52.8;145;40
2023-01-12T14:08:16.683340;50.25;52.125;51.125;42.0000;34.0000;19.6287;3.3277;58.977;39.0;2268.484875;11.1;31.85;46.0;46.2;54.1;54.4;53.0;55.3;44.1;44.1;51.7;50.8;51.0;50.8;52.8;259;49
2023-01-12T14:08:17.980337;50.25;52.125;51.0;42.0000;34.0000;19.6412;3.7531;70.2536;47.0;2518.586625;11.5;31.85;46.0;46.3;54.2;54.4;52.9;55.3;44.1;44.1;51.7;50.7;50.9;50.7;52.8;312;0
2023-01-12T14:08:19.285268;50.25;52.125;51.25;42.0000;34.0000;19.6487;3.2447;66.9576;47.0;2535.64825;11.9;31.85;46.0;46.3;54.2;54.4;52.9;55.3;44.1;44.1;51.7;50.7;50.9;50.7;52.8;184;31
2023-01-12T14:08:20.596827;50.25;52.875;51.125;42.0000;34.0000;19.6224;3.3216;63.0817;42.0;2680.092375;11.8;31.85;46.0;46.3;54.1;54.5;53.0;55.3;44.1;44.1;51.6;50.8;50.8;50.7;52.7;160;26
2023-01-12T14:08:21.909725;50.25;52.125;51.125;42.0000;34.0000;19.6375;3.3967;65.2485;50.0;2734.982375;11.0;32.85;46.0;46.3;54.1;54.5;52.9;55.3;44.1;44.1;51.6;50.8;50.8;50.8;52.7;221;0
2023-01-12T14:08:23.224961;50.25;52.25;51.875;42.0000;34.0000;19.62;3.3143;68.5293;49.0;2708.550875;11.9;32.85;46.0;46.3;54.1;54.5;52.9;55.3;44.1;44.1;51.6;50.8;50.8;50.8;52.7;7;20
2023-01-12T14:08:24.525150;50.25;52.125;51.25;42.0000;34.0000;19.62;3.4669;64.3482;44.0;2723.359;10.9;32.85;46.0;46.2;54.1;54.5;52.9;55.2;44.1;44.1;51.7;50.8;50.8;50.7;52.7;222;33
2023-01-12T14:08:25.842515;50.125;52.125;51.25;42.0000;34.0000;19.67;2.8034;55.2232;41.0;2654.9595;11.1;32.85;46.0;46.3;54.0;54.5;52.9;55.4;44.1;44.1;51.7;50.7;50.9;50.8;52.9;244;41
2023-01-12T14:08:27.142438;50.25;52.0;51.25;42.2500;34.0000;19.6712;3.0872;60.747;41.0;2512.8424999999997;10.6;32.85;46.0;46.3;54.0;54.5;52.9;55.4;44.1;44.1;51.7;50.7;50.9;50.8;52.9;226;30
2023-01-12T14:08:28.446825;50.25;52.125;51.25;42.2500;34.0000;19.665;3.2966;64.455;41.0;2531.312875;11.4;32.85;46.0;46.2;54.1;54.4;53.0;55.4;44.1;44.1;51.6;50.8;50.9;50.8;52.9;225;44
2023-01-12T14:08:29.743866;50.125;52.125;51.875;42.2500;34.0000;19.6012;3.4742;64.9586;47.0;2879.740375;11.7;32.85;46.0;46.2;54.1;54.5;53.0;55.4;44.1;44.1;51.6;50.8;50.8;50.8;52.8;140;46
2023-01-12T14:08:31.043219;50.125;52.125;51.125;42.2500;34.0000;19.625;3.3497;65.279;46.0;2615.70775;11.4;32.85;46.0;46.3;54.1;54.5;52.9;55.3;44.1;44.1;51.6;50.8;50.8;50.8;52.8;224;40
2023-01-12T14:08:32.347195;50.25;52.25;51.125;42.2500;34.0000;19.5825;3.277;66.0725;48.0;3028.19025;10.9;32.85;46.0;46.3;54.1;54.3;52.9;55.3;44.1;44.1;51.6;50.8;50.9;50.7;52.8;140;25
2023-01-12T14:08:33.660450;50.125;52.25;51.25;42.2500;34.0000;19.6275;3.4308;60.6707;45.0;2675.4375;10.9;32.85;46.0;46.3;54.1;54.3;52.9;55.3;44.1;44.1;51.6;50.8;50.9;50.7;52.8;49;43
2023-01-12T14:08:34.961183;50.125;52.875;51.125;42.2500;34.0000;19.6337;3.0762;61.1743;41.0;2628.118;10.8;32.85;46.0;46.2;54.2;54.5;53.0;55.3;44.1;44.1;51.6;50.7;50.8;50.7;52.9;52;29
2023-01-12T14:08:36.267326;50.125;52.125;51.25;42.2500;34.0000;19.6137;3.4272;62.1204;42.0;2628.36175;10.7;32.85;46.0;46.3;54.0;54.5;53.0;55.3;44.1;44.1;51.7;50.8;51.1;50.7;52.9;158;0
2023-01-12T14:08:37.570959;50.25;52.25;51.125;42.2500;34.0000;19.62;3.3521;69.6279;40.0;2568.660875;11.1;32.85;46.0;46.3;54.0;54.5;53.0;55.3;44.1;44.1;51.7;50.8;51.1;50.7;52.9;211;37
2023-01-12T14:08:38.861918;50.125;52.875;51.25;42.2500;34.0000;19.655;3.2636;66.7287;49.0;2617.342;10.8;33.85;46.0;46.3;53.9;54.5;52.9;55.3;44.1;44.1;51.6;50.7;51.0;50.8;52.8;161;45
2023-01-12T14:08:40.161244;50.125;52.125;51.125;42.2500;34.0000;19.6224;3.5285;70.2993;56.0;2695.565;11.6;33.85;46.0;46.3;54.0;54.6;52.9;55.4;44.1;44.1;51.6;50.8;51.0;50.8;52.9;32;22
2023-01-12T14:08:41.465802;50.25;52.125;51.125;42.2500;34.0000;19.5949;3.2697;66.5456;49.0;2695.7889999999998;11.6;33.85;46.0;46.3;54.0;54.6;52.9;55.4;44.1;44.1;51.6;50.8;51.0;50.8;52.9;297;16
2023-01-12T14:08:42.775804;50.25;52.125;51.375;42.2500;34.0000;19.6537;3.064;62.6087;41.0;2675.0062500000004;10.5;33.85;46.0;46.3;54.0;54.4;53.0;55.3;44.1;44.1;51.7;50.8;50.9;50.8;52.8;150;20
2023-01-12T14:08:44.082580;50.25;52.125;51.125;42.5000;34.0000;19.6175;3.4852;59.6484;41.0;2512.357625;11.1;33.85;46.0;46.3;54.0;54.4;53.0;55.3;44.1;44.1;51.6;50.7;51.0;50.8;52.8;137;36
2023-01-12T14:08:45.378687;50.25;52.25;51.125;42.5000;34.0000;19.6087;3.4559;69.8263;43.0;2892.29025;11.2;33.85;46.0;46.2;54.1;54.4;52.9;55.3;44.1;44.1;51.6;50.7;51.0;50.8;52.8;10;41
2023-01-12T14:08:46.701318;50.125;52.125;51.125;42.5000;34.0000;19.6849;3.086;67.3085;55.0;2755.7813750000005;12.1;33.85;46.0;46.2;54.1;54.5;52.9;55.4;44.1;44.1;51.7;50.8;50.8;50.8;52.8;66;30
2023-01-12T14:08:48.020723;50.125;52.125;51.25;42.5000;34.0000;19.6825;3.0292;59.2211;42.0;2738.869625;13.0;33.85;46.0;46.2;54.1;54.5;52.9;55.4;44.1;44.1;51.7;50.8;50.8;50.8;52.8;43;34
2023-01-12T14:08:49.319304;50.125;52.0;51.25;42.5000;34.0000;19.6574;3.2782;68.1325;47.0;2490.358875;12.4;33.85;46.0;46.3;54.0;54.6;52.9;55.2;44.1;44.1;51.7;50.7;51.1;50.7;52.8;178;24
2023-01-12T14:08:50.619788;50.125;52.125;51.25;42.5000;34.0000;19.6612;3.4815;70.0094;53.0;3114.812875;12.2;33.85;46.0;46.2;54.0;54.4;52.9;55.3;44.1;44.1;51.7;50.8;51.1;50.8;52.9;319;6
2023-01-12T14:08:51.935191;50.125;52.125;51.25;42.5000;34.0000;19.6412;3.5077;65.4469;41.0;2569.4595;12.0;33.85;46.0;46.2;54.0;54.4;52.9;55.3;44.1;44.1;51.7;50.8;51.1;50.8;52.9;173;45
2023-01-12T14:08:53.237937;50.25;52.125;51.125;42.5000;34.0000;19.61;3.4681;69.6585;46.0;2526.4693749999997;11.8;33.85;46.0;46.2;54.3;54.4;53.0;55.4;44.1;44.1;51.6;50.6;50.8;50.7;52.8;220;0
2023-01-12T14:08:54.551614;50.125;52.25;51.25;42.5000;34.0000;19.6162;3.31;65.9962;46.0;2625.446;12.2;33.85;46.0;46.2;54.2;54.5;52.9;55.3;44.1;44.1;51.6;50.7;51.0;50.8;52.9;81;7
2023-01-12T14:08:55.870868;50.25;52.125;51.25;42.5000;34.0000;19.565;3.2587;62.273;43.0;2672.3835;11.0;33.85;46.0;46.2;54.2;54.5;52.9;55.3;44.1;44.1;51.6;50.7;51.0;50.8;52.9;84;4
2023-01-12T14:08:57.175348;50.125;52.25;51.25;42.5000;34.0000;19.6662;3.1116;59.9841;41.0;2641.604375;11.0;33.85;46.0;46.2;54.1;54.4;52.9;55.3;44.1;44.1;51.6;50.8;50.8;50.7;52.8;171;24
2023-01-12T14:08:58.479027;50.125;52.125;51.25;42.5000;34.0000;19.6562;3.3338;65.7521;45.0;2520.4408750000002;11.3;33.85;46.0;46.2;54.1;54.4;52.9;55.3;44.1;44.1;51.6;50.7;50.9;50.8;52.8;11;11
2023-01-12T14:08:59.775696;50.25;52.125;51.125;42.5000;34.0000;19.6525;3.3362;65.9352;48.0;2684.8536249999997;11.0;33.85;46.0;46.3;54.3;54.3;53.0;55.3;44.1;44.1;51.6;50.7;50.9;50.8;52.7;310;50
2023-01-12T14:09:01.080978;50.25;52.25;51.25;42.7500;34.0000;19.5912;3.1623;64.4093;45.0;2719.6915;11.1;34.85;46.0;46.2;54.2;54.3;52.9;55.3;44.1;44.1;51.6;50.8;50.9;50.8;52.9;138;40
2023-01-12T14:09:02.399251;50.25;52.125;51.25;42.7500;34.0000;19.6712;3.086;67.1559;42.0;3024.065375;11.4;34.85;46.0;46.2;54.2;54.3;52.9;55.3;44.1;44.1;51.6;50.8;50.9;50.8;52.9;112;5
2023-01-12T14:09:03.708433;50.125;52.125;51.125;42.7500;34.0000;19.6474;3.039;60.3503;42.0;2592.9158749999997;11.7;34.85;46.0;46.3;54.1;54.5;52.9;55.3;44.1;44.1;51.6;50.8;50.8;50.8;52.9;128;12
2023-01-12T14:09:05.009329;50.125;52.25;51.125;42.7500;34.0000;19.6749;3.1043;60.8081;45.0;2410.681875;11.1;34.85;46.0;46.3;54.1;54.5;52.9;55.3;44.1;44.1;51.6;50.7;51.0;50.7;52.9;297;44
2023-01-12T14:09:06.304361;50.25;52.125;51.25;42.7500;34.0000;19.6625;3.5102;70.4824;52.0;2626.270375;10.4;34.85;46.0;46.3;54.1;54.5;52.9;55.3;44.1;44.1;51.6;50.7;51.0;50.7;52.9;54;25
2023-01-12T14:09:07.602949;50.25;52.125;51.25;42.7500;34.0000;19.6275;3.3326;66.805;55.0;2630.211375;11.3;34.85;46.0;46.3;54.0;54.6;53.0;55.4;44.1;44.1;51.7;50.7;51.1;50.8;52.9;332;20
2023-01-12T14:09:08.909462;50.125;52.25;51.25;42.7500;34.0000;19.5637;3.2599;65.0044;42.0;2562.28075;12.0;34.85;46.0;46.3;54.2;54.5;52.9;55.3;44.1;44.1;51.7;50.7;50.9;50.8;52.9;256;20
2023-01-12T14:09:10.211439;50.125;52.125;51.125;42.7500;34.0000;19.6387;3.4992;65.8741;42.0;2467.3285;10.6;34.85;46.0;46.3;54.2;54.5;52.9;55.3;44.1;44.1;51.7;50.7;50.9;50.8;52.9;14;0
2023-01-12T14:09:11.509695;50.125;52.25;51.25;42.7500;34.0000;19.6674;3.3759;59.6789;46.0;2599.46375;11.5;34.85;46.0;46.3;54.2;54.3;52.9;55.3;44.1;44.1;51.5;50.8;50.9;50.7;52.8;238;3
2023-01-12T14:09:12.821392;50.125;52.25;51.25;42.7500;34.0000;19.6299;3.3155;67.4459;53.0;2675.791375;11.5;34.85;46.0;46.3;54.2;54.3;52.9;55.3;44.1;44.1;51.5;50.8;50.9;50.7;52.8;171;1
2023-01-12T14:09:14.131881;50.25;52.125;51.25;42.7500;34.0000;19.6137;3.3399;65.9352;57.0;2728.71925;10.8;34.85;46.0;46.3;54.1;54.5;53.0;55.3;44.1;44.1;51.7;50.7;51.1;50.8;52.9;358;40
2023-01-12T14:09:15.431591;50.25;52.25;51.25;42.7500;34.0000;19.6112;3.3228;66.5303;50.0;2920.077;11.2;34.85;46.0;46.2;54.2;54.4;52.9;55.4;44.1;44.1;51.6;50.7;51.0;50.8;52.9;303;38
2023-01-12T14:09:16.739133;50.125;52.25;51.25;43.0000;34.5000;19.6499;3.2239;60.3503;43.0;2771.2082499999997;10.8;34.85;46.0;46.2;54.2;54.4;52.9;55.4;44.1;44.1;51.6;50.7;51.0;50.8;52.9;21;32
2023-01-12T14:09:18.043948;50.25;52.25;51.25;43.0000;34.5000;19.6712;2.9956;60.7318;43.0;2546.8672500000002;10.9;34.85;46.0;46.2;54.1;54.4;52.9;55.2;44.1;44.1;51.5;50.6;50.7;50.8;52.7;46;3
2023-01-12T14:09:19.335884;50.125;52.125;51.25;43.0000;34.5000;19.645;3.3655;68.926;46.0;2620.306625;10.6;34.85;46.0;46.2;54.0;54.6;52.9;55.4;44.1;44.2;51.7;50.7;51.0;50.7;52.8;41;49
2023-01-12T14:09:20.626154;50.125;52.125;51.375;43.0000;34.5000;19.6175;3.3606;67.7816;57.0;2730.0375;11.3;34.85;46.0;46.2;54.0;54.6;52.9;55.4;44.1;44.2;51.7;50.7;51.0;50.7;52.8;92;16
2023-01-12T14:09:21.935646;50.25;52.125;51.125;43.0000;34.5000;19.5974;3.3893;62.5476;48.0;2678.692375;11.0;34.85;46.0;46.2;54.1;54.6;53.1;55.4;44.1;44.1;51.5;50.7;51.1;50.8;52.8;247;22
2023-01-12T14:09:23.251351;50.125;52.125;51.25;43.0000;34.5000;19.6749;3.075;64.9586;53.0;2693.2852500000004;10.9;34.85;46.0;46.3;54.1;54.5;52.8;55.3;44.1;44.1;51.6;50.8;50.9;50.7;52.8;72;36
2023-01-12T14:09:24.564432;50.125;52.125;51.25;43.0000;34.5000;19.6525;3.0268;70.574;43.0;2999.47275;10.7;34.85;46.0;46.3;54.1;54.5;52.8;55.3;44.1;44.1;51.6;50.8;50.9;50.7;52.8;79;25
2023-01-12T14:09:25.857411;50.125;52.25;51.25;43.0000;34.5000;19.6275;3.1598;60.5792;42.0;2570.80125;11.1;34.85;46.0;46.2;54.2;54.5;52.9;55.4;44.1;44.2;51.7;50.8;51.0;50.8;52.8;166;17
2023-01-12T14:09:27.171247;50.125;52.125;51.25;43.0000;34.5000;19.5887;3.2819;67.5832;49.0;2809.456375;11.5;34.85;46.0;46.2;54.2;54.5;52.9;55.4;44.1;44.2;51.7;50.8;51.0;50.8;52.8;200;17
2023-01-12T14:09:28.479340;50.125;52.125;51.125;43.0000;34.5000;19.6112;3.1897;61.8762;55.0;2692.875375;11.5;35.85;46.0;46.2;54.2;54.3;52.9;55.4;44.1;44.2;51.7;50.8;50.8;50.8;52.7;13;35
2023-01-12T14:09:29.779192;50.0;52.25;51.25;43.0000;34.5000;19.67;3.0689;62.1509;43.0;2646.1168749999997;11.2;35.85;46.0;46.3;54.1;54.5;53.0;55.3;44.1;44.1;51.6;50.9;50.9;50.8;52.8;277;39
2023-01-12T14:09:31.079564;50.25;52.25;51.375;43.0000;34.5000;19.5812;3.2056;66.5303;45.0;2557.58575;11.1;35.85;46.0;46.3;54.1;54.5;53.0;55.3;44.1;44.1;51.6;50.9;50.9;50.8;52.8;166;15
2023-01-12T14:09:32.373282;50.125;52.25;51.125;43.0000;34.5000;19.6175;3.2538;68.5293;45.0;2714.729;11.1;35.85;46.0;46.3;54.2;54.4;53.0;55.3;44.1;44.1;51.7;50.7;51.1;50.7;52.8;94;39
2023-01-12T14:09:33.678439;50.25;52.125;51.25;43.0000;34.5000;19.6287;3.0945;61.2353;41.0;2606.356875;11.4;35.85;46.0;46.3;54.1;54.4;53.0;55.5;44.2;44.2;51.6;50.7;51.1;50.8;52.9;43;7
2023-01-12T14:09:34.986982;50.25;52.25;51.25;43.2500;34.5000;19.6312;3.2312;61.7084;41.0;2640.601875;11.4;35.85;46.0;46.3;54.1;54.4;53.0;55.5;44.2;44.2;51.6;50.7;51.1;50.8;52.9;114;20
2023-01-12T14:09:36.298581;50.25;52.125;51.125;43.2500;34.5000;19.6212;3.3289;63.2038;50.0;2730.134125;11.2;35.85;46.0;46.3;54.1;54.5;53.0;55.4;44.2;44.2;51.7;50.7;51.0;50.8;52.8;25;16
2023-01-12T14:09:37.600729;50.25;52.0;51.125;43.2500;34.5000;19.6537;3.1995;63.9515;44.0;2702.716625;11.7;35.85;46.0;46.3;54.2;54.4;52.9;55.4;44.2;44.2;51.7;50.8;50.9;50.8;52.9;181;3
2023-01-12T14:09:38.907162;50.125;52.25;51.125;43.2500;34.5000;19.6599;2.9871;60.5334;44.0;2547.8320000000003;10.8;35.85;46.0;46.2;54.2;54.4;52.9;55.3;44.2;44.2;51.7;50.8;50.9;50.8;52.9;154;6
2023-01-12T14:09:40.208736;50.25;52.125;51.25;43.2500;34.5000;19.6299;3.5151;68.6819;42.0;2532.8131249999997;10.8;35.85;46.0;46.2;54.0;54.5;52.9;55.4;44.2;44.2;51.6;50.8;51.0;50.8;52.9;138;3
2023-01-12T14:09:41.507316;50.25;52.125;51.25;43.2500;34.5000;19.6062;3.382;65.2027;53.0;2776.808625;11.2;35.85;46.0;46.2;54.0;54.5;52.9;55.4;44.2;44.2;51.6;50.8;51.0;50.8;52.9;350;7
2023-01-12T14:09:42.815316;50.125;52.125;51.25;43.2500;34.5000;19.5937;3.4333;66.4235;57.0;2741.331;10.9;35.85;46.0;46.3;54.1;54.6;52.8;55.3;44.2;44.2;51.5;50.8;51.0;50.8;52.9;88;33
2023-01-12T14:09:44.125763;50.125;52.25;51.0;43.2500;34.5000;19.5612;3.4015;63.5242;44.0;2857.875375;10.8;35.85;46.0;46.3;54.2;54.4;52.9;55.4;44.2;44.2;51.7;50.8;50.8;50.8;52.7;91;26
2023-01-12T14:09:45.431180;50.125;52.125;51.125;43.2500;34.5000;19.6712;3.1092;67.7816;42.0;2850.54275;10.9;35.85;46.0;46.3;54.2;54.4;52.9;55.4;44.2;44.2;51.7;50.8;50.8;50.8;52.7;293;20
2023-01-12T14:09:46.725892;50.25;52.125;51.875;43.2500;34.5000;19.5674;3.2422;63.8599;44.0;2806.4865;11.1;35.85;46.0;46.3;54.1;54.6;52.9;55.3;44.2;44.2;51.7;50.6;50.8;50.8;52.9;310;6
2023-01-12T14:09:48.026468;50.125;52.125;51.25;43.2500;34.5000;19.6312;3.2374;64.8823;58.0;3127.71575;11.1;35.85;46.0;46.3;54.2;54.3;52.9;55.3;44.2;44.2;51.7;50.8;50.8;50.9;52.9;52;43
2023-01-12T14:09:49.344674;50.125;52.25;51.375;43.2500;34.5000;19.62;3.426;65.9962;51.0;3142.9195;11.2;35.85;46.0;46.3;54.2;54.3;52.9;55.3;44.2;44.2;51.7;50.8;50.8;50.9;52.9;138;24
2023-01-12T14:09:50.662364;50.25;52.125;51.25;43.2500;34.5000;19.635;3.6408;69.3838;43.0;2689.8136250000002;11.0;35.85;46.0;46.2;54.0;54.5;52.9;55.3;44.2;44.2;51.7;50.7;50.8;50.7;52.8;111;17
